"p_ix","prolific_id","condition","gender","age","ins_time","tut_time","trial_time","total_time","comprehension_score","tutorial_tries","tutorial_keys","c1t1","c1t2","c1t3","c2t1","c2t2","c2t3","test1","test2","test3","test4","test5","c1t1_tries","c1t2_tries","c1t3_tries","c2t1_tries","c2t2_tries","c2t3_tries","test1_tries","test2_tries","test3_tries","test4_tries","test5_tries","total","m_steps","m_steps_successes","m_steps_failures","n_add","n_delete","n_corner","n_bar","n_move","n_rotate","n_flip","n_reflect","comments","bonus","test_rr1","test_rr2","test_f1","test_f2","test_both"
1,"5e3ddcf95556b204cb143eab","train_flower","","31",6.22,1.81,14.68,22.7,3,"1,3,1,1,1,5,1,1,2","2,14,2,2,3,19,5,3,20",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,5,5,5,5,5,5,5,2,20.1111111111111,19.5,20.1470588235294,17,56,56,43,208,121,82,114,"i think i was confused that ALL TILES will move alltogether",0.4,FALSE,FALSE,TRUE,FALSE,FALSE
2,"63f77a5dde1ea03305e119e0","train_reflect","","32",3.04,1.51,26.88,31.43,3,"1,1,1,1,1,1,1,1,2","2,6,2,2,3,3,5,3,14",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,8,8,2,0,0,0,1,5,1,1,5,5,25.7096774193548,17,27.3846153846154,43,42,15,46,320,88,8,226,"It took me a while to get a handle on it  often I still felt as though my results were from luck and trialerror rather than spatial reasoning",1,TRUE,FALSE,TRUE,TRUE,TRUE
3,"58a9acb966e4640001c53a7f","train_reflect","","35",4.1,1.03,23.82,28.94,3,"1,1,1,1,1,1,1,1,1","2,4,2,2,3,3,5,3,5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,1,0,0,0,1,2,1,1,1,8,15.7692307692308,14,18.6,14,4,4,12,89,27,11,32,"It became a lot easier once I took advantage of the rotate and reflect functions",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
4,"65313bdcb9fd825a8c1d4981","train_flower","","45",3.96,0.91,20.59,25.46,4,"2,1,1,1,1,1,1,1,1","4,7,2,2,3,3,5,3,10",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,4,3,7,5,5,5,5,4,10.5897435897436,11.5,10.4857142857143,4,22,67,15,141,32,17,76,"Was fun but hard ",0.8,FALSE,FALSE,TRUE,FALSE,FALSE
5,"6745c21dc57fa61bad7e6021","train_reflect","","27",7.52,1.75,50.8,60.07,4,"1,2,2,1,1,1,1,1,1","2,19,4,2,3,3,5,3,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,5,5,0,0,0,5,5,5,3,3,2,27.0277777777778,21.5,27.3529411764706,219,100,29,5,503,57,8,43,"I found it difficult initially but figured it out towards the end Corner pieces with single tiles added on to the ends of them to create one quadrant followed by reflections and rotations",0.4,FALSE,FALSE,FALSE,TRUE,TRUE
6,"62a746cdc24be0dc08d934ab","train_flower","","30",26.55,2.9,47.47,76.93,2,"2,2,1,1,1,2,1,1,1","5,40,2,2,3,18,7,3,20",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,6,10,5,5,5,5,5,5,0,20.5217391304348,NA,20.5217391304348,21,62,149,23,308,50,84,218,"It was so difficult Enjoyable at first but it just became frustating because the navigations werent as easy as the tutorials made it seem Maybe if we had practiced actual examples in the tutorial could have been more helpful for the actual exercise",0,FALSE,FALSE,FALSE,FALSE,FALSE
7,"679e81108eebf65d6f83c490","train_reflect","","42",13.75,4.78,53.16,71.69,3,"1,2,1,1,4,1,4,1,1","2,21,2,5,34,4,30,3,13",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,25.625,NA,25.625,52,56,64,53,543,117,42,84,"i did not enjoy the task because it was difficult to solve",0,FALSE,FALSE,FALSE,FALSE,FALSE
8,"5fa4c21a04bc5912180291bc","train_reflect","","43",3.16,1.89,40.7,45.75,5,"1,1,1,1,1,1,1,1,1","2,10,2,2,3,3,5,3,5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,11,1,0,0,0,6,22,3,1,1,8,9.375,14.875,8.275,10,31,49,23,150,49,15,75,"one of the most important first rules to establish for myself is reminding myself that so long as the task is completed to your specifications and within limits i am at liberty to undertake your tools for my disposal at my total discretionthere is no wrong way to win so long as i follow your overall established rulesassuming you were tracking each of my attempts you mightve noticed indeed i had substantiallyless trouble with what i can only presume were to be the last remaining moredifficult trials in comparison to the one in the middlemy troubles there are more due to my own inability with spatial plotting wellof course",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
9,"665af670c32544bf63236164","train_reflect","","44",5.55,0.98,45.16,51.69,5,"1,1,1,1,1,1,1,1,1","2,4,2,2,3,3,11,3,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,5,5,0,0,0,5,5,2,5,5,2,26.2162162162162,28,26.1142857142857,206,56,4,3,649,15,10,15,"After the tutorial I was unclear that all pieces moved together which was difficult to get used to Maybe thats poor comprehension on my part but I dont recall reading that info",0.4,FALSE,TRUE,TRUE,FALSE,FALSE
10,"6658c5911429bc1ab0372a89","train_reflect","","39",20.39,1.5,65.76,87.65,4,"2,1,1,2,1,2,1,1,1","4,15,2,6,3,13,5,3,12",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,5,8,0,0,0,7,7,1,5,5,1,25,26,24.9772727272727,110,59,38,26,762,44,31,33,"very frustrating i dont think the instructions made it clear that the tiles are set in place once they are placed",0.2,FALSE,FALSE,TRUE,FALSE,FALSE
11,"6127acfefe55496869afbc4d","train_flower","Male","24",1.8,0.53,7.42,9.75,4,"1,1,1,1,1,1,1,1,1","2,4,3,2,4,3,5,3,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,3,2,1,3,1,5,5,2,6,12.7727272727273,16.1666666666667,11.5,7,24,12,28,89,33,11,55,"It was a fun and engaging task",1.2,FALSE,FALSE,TRUE,TRUE,TRUE
12,"672fd24711f758e7a04ac043","train_reflect","Male","40",5.21,1.24,18.93,25.38,4,"1,1,1,1,1,1,1,1,1","2,4,2,2,4,3,5,3,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,5,5,0,0,0,5,5,5,5,5,0,4,NA,4,49,14,3,11,58,7,5,0,"It was very difficult Wasnt able to get any of them Enjoyable but too difficult ",0,FALSE,FALSE,FALSE,FALSE,FALSE
13,"67a96562e2b052e6c15ed963","train_flower","Male","34",7.24,2.15,8.78,18.17,5,"1,8,1,1,2,1,1,1,3","2,45,2,2,20,3,5,3,23",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,3,1,2,1,1,1,2,1,8,19,16.25,24.5,2,18,19,13,114,18,5,30,"I found the control scheme pretty difficult it took me a few mistakes to understand how the fliprotate worked but I was still guessing",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
14,"6777f3e9760d3844217b5ea8","train_reflect","Female","19",6.29,0.79,16.2,23.28,4,"1,2,1,1,1,2,1,1,1","2,8,2,2,4,27,5,3,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,5,5,0,0,0,8,6,5,5,2,2,13.6829268292683,12.5,13.7435897435897,18,22,37,29,259,77,13,67,"I think I got the hang of it more towards the end I enjoyed it ",0.4,FALSE,FALSE,TRUE,FALSE,TRUE
15,"653fc6073035a31db0314d04","train_flower","Male","28",9.98,1.02,12.85,23.86,4,"3,1,1,1,4,7,1,1,1","31,4,2,2,68,84,5,9,8",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,2,4,1,1,1,6,4,1,8,18.25,18.375,18.1666666666667,6,21,44,1,118,39,1,117,"It was challenging but fun Using the rotate and reflect functions helped me to complete the puzzles",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
16,"67a95d468d14bd6324b4bbba","train_reflect","Male","32",7.01,3.7,21.88,32.59,3,"1,2,1,1,2,1,2,1,5","2,9,2,2,7,4,35,10,45",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,28.325,NA,28.325,151,91,127,104,588,16,20,31,"NO",0,FALSE,FALSE,FALSE,FALSE,FALSE
17,"5e1b6da99debf5393dfba2dc","train_reflect","Female","49",5.92,6.11,16.66,28.69,4,"1,1,1,1,3,1,1,1,6","2,4,2,2,17,3,9,3,94",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,6,1,1,0,0,0,1,5,3,1,3,6,15,15.6666666666667,14.7333333333333,9,14,21,9,80,40,18,104,"Very difficult but fun The symmetrical ones were easier ",1.2,TRUE,FALSE,TRUE,TRUE,TRUE
18,"676055469b245b53e81358d0","train_flower","Male","21",4.67,3.24,15.8,23.71,4,"1,1,1,1,1,1,1,1,6","2,7,2,2,4,3,5,3,34",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,6,5,2,5,5,5,5,5,3,10.9736842105263,11.3333333333333,10.9428571428571,8,13,71,12,168,8,3,96,"it was very hard and confusing",0.6,FALSE,FALSE,FALSE,FALSE,FALSE
19,"60fd14512de6e8dab5242343","train_reflect","Female","23",5.95,3.98,28.42,38.36,4,"1,5,1,1,2,1,1,1,7","3,62,3,3,13,3,5,3,40",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,1,0,0,0,2,3,1,1,1,8,20.6875,16.375,25,8,20,13,11,128,47,16,78,"It was fun It got easier when i realised the most important operations were the flip rotate and reflect ones after i got the base shape",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
20,"62b8b2be4c2b1d481f4f68c0","train_flower","Male","42",4.36,1.34,17.49,23.19,5,"1,1,1,1,1,1,1,1,1","2,10,2,2,4,3,5,3,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,1,1,1,1,1,3,1,1,8,17.9,15.75,26.5,7,4,12,3,56,31,0,57,"Ive not done a task like this before and I really enjoyed it  The movement options were a little complicated and not very intuitive so it took a little while to figure it out but this is the sort of puzzle Id do just for fun  I made a lot of use of the mirroring option to reduce the number of moves to create the shape",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
21,"5b2bc4d30ec82d0001d299e1","train_reflect","Female","37",4.55,2.71,17.01,24.27,5,"1,2,1,1,2,1,1,2,8","2,9,2,2,9,3,5,5,54",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4,3,1,0,0,0,1,6,5,5,5,5,15.4,18.2,14.84,5,33,37,22,155,61,15,107,"NA",1,TRUE,TRUE,FALSE,FALSE,FALSE
22,"62e3f7b224ec70641fd86b7b","train_reflect","Male","38",3.41,0.87,19.03,23.31,2,"1,2,1,1,1,1,1,1,1","2,36,2,2,4,3,5,3,7",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,5,5,5,0,0,0,2,6,2,3,3,5,19.0967741935484,16.4,19.6153846153846,53,20,13,21,198,68,36,157,"Found it very difficult as I could not really visualise it at all and mostly had to rely on trial and error without having specific steps in mind in order to achieve the goal",1,TRUE,FALSE,TRUE,TRUE,TRUE
23,"612d65fb9c0182abbcf41c32","train_flower","Male","43",5.02,1.71,37.51,44.24,3,"1,1,1,1,1,1,1,1,2","2,4,2,2,4,3,5,3,15",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,2,5,6,5,1,5,10,3,4,22.0540540540541,19.25,22.3939393939394,74,106,75,36,295,38,5,165,"I found this task very difficult  due to the nature of the controlsThe nature of the controls did not give to much freedom and felt quite awkwardUndoing a mistake felt quite confusingThe current position where things start to appear Position of the cursor from is not very clearAlso the limited number of deletions is a little confusing tooOverall quite a confusing puzzle The control system alone is a puzzle in itself And where the position of the centre of the puzzle is also confusing Where things start appearing fromIf the position of where tiles appear from when you create them was marked  then the puzzle might be more accessible",0.8,FALSE,FALSE,FALSE,TRUE,TRUE
24,"577929c16243180001ea8ef8","train_flower","Male","28",5.67,1.73,13.86,21.26,4,"1,2,1,1,1,1,1,1,1","2,20,2,2,4,3,5,9,9",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,1,1,1,1,2,4,3,1,8,15.2142857142857,14.625,16,4,9,14,9,93,35,3,32,"I liked it lots of symmetry involved",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
25,"5d7ebf9e93902b0001965912","train_reflect","Male","41",8.72,2.27,25.77,36.76,3,"1,3,1,1,2,1,1,1,1","2,9,2,2,6,3,5,3,5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,1,0,0,0,3,2,1,1,1,8,15.25,13.375,19,4,10,12,10,78,21,4,32,"Had a few difficulties at first getting use to the controls but had no issues creating the shapes Using the reflect and rotate appeared to be my most effective strategy as i would look for a basic shape that was repeated in the pattern that could be made with the bar or the corner and then reflect the basic shape to make the pattern ",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
26,"5b97a1e083bd380001b92485","train_flower","Male","36",4.07,1.26,16.08,21.4,4,"1,1,1,1,1,1,1,1,2","2,7,2,2,4,6,5,3,16",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,1,1,1,3,4,2,2,1,8,16.6,19,13.8571428571429,19,8,24,1,120,16,4,42,"Yes it was fun",1.6,TRUE,TRUE,TRUE,TRUE,TRUE
27,"63ed0d97a93096d3dbfe8a3f","train_flower","Male","47",5.33,2.43,38.15,45.91,5,"2,1,1,1,1,1,1,1,4","4,7,2,2,4,3,5,3,21",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,1,10,1,5,2,5,5,1,5,15.6,14.8,15.76,3,21,34,19,74,82,64,143,"Really difficult at first but I slowly started to get the hang of it",1,TRUE,FALSE,FALSE,TRUE,TRUE
28,"5ed4c3d73ac88100098198f1","train_flower","Female","36",2.92,1.9,19.83,24.65,4,"1,2,1,1,2,1,1,1,4","2,15,2,2,7,3,5,5,28",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,5,1,5,5,5,5,5,3,12.34375,10,12.5862068965517,8,11,44,8,171,24,13,85,"Found it difficult and frustrating towards the end",0.6,FALSE,FALSE,FALSE,FALSE,FALSE
29,"56d1f7f67bbc32000589a588","train_flower","Female","22",6.44,1.21,35.33,42.99,5,"1,1,2,1,2,1,1,1,1","2,5,5,2,8,3,5,7,8",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,2,3,1,1,7,7,3,1,6,17.92,17.8333333333333,17.9473684210526,33,24,56,4,262,26,0,20,"I enjoyed it though it got a little frustrating at times when I couldnt figure it out Looking back I wish I wouldve given more thought to using the reflect rotate reflect combination more often and I wish I wouldve figured out earlier how much easier it was to use that for symmetrical shapes",1.2,FALSE,TRUE,TRUE,FALSE,TRUE
30,"609551c1ade88f8463666fb8","train_flower","Male","25",15.39,2.2,42.65,60.25,5,"2,1,1,1,1,1,1,1,2","23,4,2,2,4,3,5,3,12",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,0,2,5,3,7,1,6,6,5,5,25.1428571428571,21.4,25.7666666666667,61,60,45,16,429,111,43,99,"The experiment was a brain teaser",1,TRUE,TRUE,FALSE,TRUE,FALSE
31,"5ef08aa7177a735c78ffbf40","train_flower","Male","24",3.97,1.12,35.33,40.43,3,"1,1,2,1,1,2,1,1,1","2,4,8,3,5,7,6,14,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,2,6,1,13,9,9,8,8,5,17.8928571428571,13,18.3725490196078,10,45,89,90,349,86,29,259,"I was very bad and rushed a lot out of frustration but it was addicting and fun",1,FALSE,FALSE,FALSE,TRUE,TRUE
32,"5c0dbb9b9166290001253342","train_flower","Male","50",10.13,3.39,39.97,53.49,2,"1,3,1,1,7,2,2,1,5","2,14,2,2,54,5,7,3,24",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,5,7,6,5,5,5,5,0,24.2558139534884,NA,24.2558139534884,167,111,70,59,418,73,49,78,"That was completely impossible I have never done a study that caused me to throw stuff across the room until now I am great at puzzles much better then my friends and coworkers I am always finding new puzzles to do For some reason i felt like there was a mental block  I could not grasp it The instructions were easy to follow the rules were on the same screen for gods sake There is absolutely no reason why i should not of gotten at least 4 or 5 out of 8 But 0 out of 8 is uncalled for There has to be something i was missing ",0,FALSE,FALSE,FALSE,FALSE,FALSE
33,"5e5521580ee1b951df544c3c","train_flower","Male","46",7.71,3.86,19.13,30.7,4,"1,1,1,1,1,1,1,2,4","2,7,2,2,4,3,5,9,27",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,5,5,5,5,5,5,5,5,0,9.025,NA,9.025,27,10,47,12,107,31,1,87,"very frustrating and difficult to manoeuvre the shapes",0,FALSE,FALSE,FALSE,FALSE,FALSE
34,"5d6920acf59886000119e73e","train_flower","Male","46",10.37,2.74,31.63,44.74,5,"1,1,1,1,1,1,1,1,1","2,6,2,2,4,6,5,3,5",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,1,4,1,5,4,5,5,1,7,26.9230769230769,19.1428571428571,29.7894736842105,11,14,72,27,166,38,28,336,"I found it challenging because I have never done a task quite like this ",1.4,FALSE,TRUE,TRUE,TRUE,TRUE
35,"666601cef955d69a64aa5e8f","train_reflect","Female","40",9.88,1.78,35.2,46.86,3,"1,1,1,2,1,1,1,1,1","2,4,4,30,4,3,6,3,5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2,3,1,0,0,0,2,1,5,4,5,7,25.1304347826087,15,29.5625,33,19,27,10,207,143,16,114,"Yes I found little difficult to complete the final one Adding hint in between might be helpful",1.4,TRUE,TRUE,TRUE,TRUE,FALSE
36,"5bdcdbe6ee652a0001eff5f2","train_flower","Female","26",3.67,2.88,25.03,31.58,3,"1,1,1,1,1,1,1,1,2","2,7,2,2,4,3,5,3,35",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,2,2,1,5,1,5,5,5,4,28.5,20.25,30,50,120,93,34,256,68,38,78,"Thank you I enjoyed it",0.8,FALSE,FALSE,FALSE,TRUE,FALSE
37,"675b6faf10ae4b79d1d6455e","train_reflect","Male","31",33.21,10.26,23.83,67.3,4,"1,12,1,1,7,1,2,1,9","2,153,2,2,50,3,8,4,100",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,0,0,0,5,5,5,5,5,0,13.575,NA,13.575,48,37,18,45,301,33,26,1,"The experiment was very interesting and engaging",0,FALSE,FALSE,FALSE,FALSE,FALSE
38,"59de66cac0d35a0001294c46","train_flower","Female","40",8.9,1.14,25.88,35.91,3,"2,1,2,1,2,1,1,1,1","13,4,7,2,18,3,5,3,6",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,4,1,1,5,5,5,5,2,4,26.25,15.5,28.0416666666667,28,57,71,65,322,69,35,76,"I did enjoy it but find it difficult I found reflecting the shape and rotating most useful",0.8,FALSE,FALSE,FALSE,FALSE,TRUE
